epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.8851,0.51319,2.92553,1.22343,0.0034,1,0.86542,0.64004,0.43518,2.9702,1.15773,0.00012,0.00012,0.00012
2,44.7175,0.39821,1.7914,1.13044,0.0034,1,0.99218,0.78065,0.51811,2.78696,1.2738,0.00023426,0.00023426,0.00023426
3,65.3251,0.40227,1.4301,1.1257,0.89151,0.9902,0.99089,0.81539,0.50905,2.86944,1.28056,0.0003208,0.0003208,0.0003208
4,86.2455,0.36967,1.37906,1.11466,0.98899,0.88093,0.98807,0.78625,0.65895,2.57272,1.7363,0.00037962,0.00037962,0.00037962
5,107.037,0.35755,1.3001,1.09825,0.97987,0.95446,0.99264,0.89978,0.41245,2.46002,1.09892,0.00041072,0.00041072,0.00041072
6,127.878,0.4387,1.29179,1.12415,0.96388,0.97059,0.99253,0.89681,0.43462,2.31143,1.17176,0.0004141,0.0004141,0.0004141
7,151.011,0.32384,1.12185,1.01496,0.98998,0.96881,0.99451,0.93066,0.36017,2.32827,1.00553,0.00038976,0.00038976,0.00038976
8,173.178,0.31061,1.04069,1.0156,1,0.96381,0.99452,0.94077,0.35235,2.32698,0.98165,0.0003377,0.0003377,0.0003377
9,195.337,0.29359,1.00654,0.97949,0.99935,0.98039,0.99481,0.95542,0.34264,2.08609,0.96081,0.00025792,0.00025792,0.00025792
10,217.538,0.24882,0.95429,0.98189,1,0.99055,0.995,0.95756,0.31838,1.86099,0.94124,0.00015042,0.00015042,0.00015042
